sector,avg_weighted_risk,sentiment_nss,impact_weighted_sentiment,confidence_weighted_sentiment,composite_sentiment_index,risk_level,avg_impact,total_mentions,positive_count,negative_count,neutral_count,geopolitical_flags,benchmark_index,sector_weight,divergence,divergence_flag,valence,arousal,sector_classification,sentiment_velocity,run_date
Energy,50.0,0.0,0.0,0.0,0.0,HIGH,7.0,2,1,1,0,1,66.0,1.4,0.0,Normal,0.5,0.7,Watch Closely,0.0,2026-03-18
Fintech,84.0,-100.0,-100.0,-100.0,-100.0,HIGH,7.0,1,0,1,0,0,103.0,1.2,0.0,Normal,0.2,0.6,Watch Closely,0.0,2026-03-18
Geopolitics,50.0,-50.0,-53.8,-58.6,-54.0,HIGH,6.5,2,0,1,1,2,74.5,1.4,3.8,Normal,0.35,0.55,Monitor Risk,0.0,2026-03-18
IT,24.0,42.9,42.9,42.9,42.9,LOW,7.0,7,5,2,0,0,44.4,1.2,0.0,Normal,0.6,0.63,Opportunity,0.0,2026-03-18
Manufacturing,47.7,-33.3,-30.0,-27.4,-30.2,MEDIUM,6.7,3,1,2,0,0,70.6,1.1,3.3,Normal,0.37,0.6,Opportunity,0.0,2026-03-18
Other,11.6,30.0,34.9,37.9,34.4,LOW,6.3,10,5,2,3,1,38.7,0.7,4.9,Normal,0.57,0.58,Low Priority,0.0,2026-03-18
Retail,72.0,-100.0,-100.0,-100.0,-100.0,HIGH,6.0,1,0,1,0,1,94.0,0.8,0.0,Normal,0.2,0.7,Monitor Risk,0.0,2026-03-18
Startup,54.0,-100.0,-100.0,-100.0,-100.0,HIGH,6.0,1,0,1,0,0,85.0,0.9,0.0,Normal,0.2,0.7,Monitor Risk,0.0,2026-03-18
